,Species1
0,Accipiter albogularis
1,Accipiter badius
2,Accipiter bicolor
3,Accipiter brachyurus
4,Accipiter brevipes
5,Accipiter butleri
6,Accipiter castanilius
7,Accipiter cirrocephalus
8,Accipiter collaris
9,Accipiter cooperii
10,Accipiter erythrauchen
11,Accipiter erythropus
12,Accipiter fasciatus
13,Accipiter francesiae
14,Accipiter gentilis
15,Accipiter griseiceps
16,Accipiter gularis
17,Accipiter gundlachi
18,Accipiter haplochrous
19,Accipiter henicogrammus
20,Accipiter henstii
21,Accipiter hiogaster
22,Accipiter imitator
23,Accipiter luteoschistaceus
24,Accipiter madagascariensis
25,Accipiter melanochlamys
26,Accipiter melanoleucus
27,Accipiter meyerianus
28,Accipiter minullus
29,Accipiter nanus
30,Accipiter nisus
31,Accipiter novaehollandiae
32,Accipiter ovampensis
33,Accipiter poliocephalus
34,Accipiter poliogaster
35,Accipiter princeps
36,Accipiter rhodogaster
37,Accipiter rufitorques
38,Accipiter rufiventris
39,Accipiter soloensis
40,Accipiter striatus
41,Accipiter superciliosus
42,Accipiter sylvestris
43,Accipiter tachiro
44,Accipiter toussenelii
45,Accipiter trinotatus
46,Accipiter trivirgatus
47,Accipiter virgatus
48,Aegypius monachus
49,Aquila adalberti
50,Aquila africana
51,Aquila audax
52,Aquila chrysaetos
53,Aquila fasciata
54,Aquila gurneyi
55,Aquila heliaca
56,Aquila nipalensis
57,Aquila rapax
58,Aquila spilogaster
59,Aquila verreauxii
60,Aviceda cuculoides
61,Aviceda jerdoni
62,Aviceda leuphotes
63,Aviceda madagascariensis
64,Aviceda subcristata
65,Busarellus nigricollis
66,Butastur indicus
67,Butastur liventer
68,Butastur rufipennis
69,Butastur teesa
70,Buteo albigula
71,Buteo albonotatus
72,Buteo augur
73,Buteo auguralis
74,Buteo brachypterus
75,Buteo brachyurus
76,Buteo buteo
77,Buteo galapagoensis
78,Buteo hemilasius
79,Buteo jamaicensis
80,Buteo japonicus
81,Buteo lagopus
82,Buteo lineatus
83,Buteo nitidus
84,Buteo oreophilus
85,Buteo plagiatus
86,Buteo platypterus
87,Buteo refectus
88,Buteo regalis
89,Buteo ridgwayi
90,Buteo rufinus
91,Buteo rufofuscus
92,Buteo socotraensis
93,Buteo solitarius
94,Buteo swainsoni
95,Buteo trizonatus
96,Buteo ventralis
97,Buteogallus aequinoctialis
98,Buteogallus anthracinus
99,Buteogallus coronatus
100,Buteogallus gundlachii
101,Buteogallus lacernulatus
102,Buteogallus meridionalis
103,Buteogallus schistaceus
104,Buteogallus solitarius
105,Buteogallus urubitinga
106,Chelictinia riocourii
107,Chondrohierax uncinatus
108,Chondrohierax wilsonii
109,Circaetus beaudouini
110,Circaetus cinerascens
111,Circaetus cinereus
112,Circaetus fasciolatus
113,Circaetus gallicus
114,Circaetus pectoralis
115,Circus aeruginosus
116,Circus approximans
117,Circus assimilis
118,Circus buffoni
119,Circus cinereus
120,Circus cyaneus
121,Circus hudsonius
122,Circus macrosceles
123,Circus macrourus
124,Circus maillardi
125,Circus maurus
126,Circus melanoleucos
127,Circus pygargus
128,Circus ranivorus
129,Circus spilonotus
130,Circus spilothorax
131,Clanga clanga
132,Clanga hastata
133,Clanga pomarina
134,Cryptoleucopteryx plumbea
135,Dryotriorchis spectabilis
136,Elanoides forficatus
137,Elanus axillaris
138,Elanus caeruleus
139,Elanus leucurus
140,Elanus scriptus
141,Erythrotriorchis buergersi
142,Erythrotriorchis radiatus
143,Eutriorchis astur
144,Gampsonyx swainsonii
145,Geranoaetus albicaudatus
146,Geranoaetus melanoleucus
147,Geranoaetus polyosoma
148,Geranospiza caerulescens
149,Gypaetus barbatus
150,Gypohierax angolensis
151,Gyps africanus
152,Gyps bengalensis
153,Gyps coprotheres
154,Gyps fulvus
155,Gyps himalayensis
156,Gyps indicus
157,Gyps rueppelli
158,Gyps tenuirostris
159,Haliaeetus albicilla
160,Haliaeetus leucocephalus
161,Haliaeetus leucogaster
162,Haliaeetus leucoryphus
163,Haliaeetus pelagicus
164,Haliaeetus sanfordi
165,Haliaeetus vocifer
166,Haliaeetus vociferoides
167,Haliastur indus
168,Haliastur sphenurus
169,Hamirostra melanosternon
170,Harpagus bidentatus
171,Harpagus diodon
172,Harpia harpyja
173,Harpyopsis novaeguineae
174,Helicolestes hamatus
175,Henicopernis infuscatus
176,Henicopernis longicauda
177,Hieraaetus ayresii
178,Hieraaetus morphnoides
179,Hieraaetus pennatus
180,Hieraaetus wahlbergi
181,Hieraaetus weiskei
182,Icthyophaga humilis
183,Icthyophaga ichthyaetus
184,Ictinaetus malaiensis
185,Ictinia mississippiensis
186,Ictinia plumbea
187,Kaupifalco monogrammicus
188,Leptodon cayanensis
189,Leptodon forbesi
190,Leucopternis kuhli
191,Leucopternis melanops
192,Leucopternis semiplumbeus
193,Lophaetus occipitalis
194,Lophoictinia isura
195,Lophotriorchis kienerii
196,Macheiramphus alcinus
197,Megatriorchis doriae
198,Melierax canorus
199,Melierax metabates
200,Melierax poliopterus
201,Micronisus gabar
202,Milvus aegyptius
203,Milvus migrans
204,Milvus milvus
205,Morphnarchus princeps
206,Morphnus guianensis
207,Necrosyrtes monachus
208,Neophron percnopterus
209,Nisaetus alboniger
210,Nisaetus bartelsi
211,Nisaetus cirrhatus
212,Nisaetus floris
213,Nisaetus lanceolatus
214,Nisaetus nanus
215,Nisaetus nipalensis
216,Nisaetus philippensis
217,Nisaetus pinskeri
218,Parabuteo leucorrhous
219,Parabuteo unicinctus
220,Pernis apivorus
221,Pernis celebensis
222,Pernis ptilorhynchus
223,Pernis steerei
224,Pithecophaga jefferyi
225,Polemaetus bellicosus
226,Polyboroides radiatus
227,Polyboroides typus
228,Pseudastur albicollis
229,Pseudastur occidentalis
230,Pseudastur polionotus
231,Rostrhamus sociabilis
232,Rupornis magnirostris
233,Sarcogyps calvus
234,Spilornis cheela
235,Spilornis elgini
236,Spilornis holospilus
237,Spilornis kinabaluensis
238,Spilornis klossi
239,Spilornis rufipectus
240,Spizaetus isidori
241,Spizaetus melanoleucus
242,Spizaetus ornatus
243,Spizaetus tyrannus
244,Stephanoaetus coronatus
245,Terathopius ecaudatus
246,Torgos tracheliotos
247,Trigonoceps occipitalis
248,Urotriorchis macrourus
249,Pandion haliaetus
250,Sagittarius serpentarius
251,Aceros nipalensis
252,Anorrhinus austeni
253,Anorrhinus galeritus
254,Anorrhinus tickelli
255,Anthracoceros albirostris
256,Anthracoceros coronatus
257,Anthracoceros malayanus
258,Anthracoceros marchei
259,Anthracoceros montani
260,Berenicornis comatus
261,Buceros bicornis
262,Buceros hydrocorax
263,Buceros mindanensis
264,Buceros rhinoceros
265,Bucorvus abyssinicus
266,Bucorvus leadbeateri
267,Bycanistes albotibialis
268,Bycanistes brevis
269,Bycanistes bucinator
270,Bycanistes cylindricus
271,Bycanistes fistulator
272,Bycanistes sharpii
273,Bycanistes subcylindricus
274,Ceratogymna atrata
275,Ceratogymna elata
276,Horizocerus albocristatus
277,Horizocerus cassini
278,Horizocerus granti
279,Horizocerus hartlaubi
280,Lophoceros alboterminatus
281,Lophoceros bradfieldi
282,Lophoceros camurus
283,Lophoceros fasciatus
284,Lophoceros hemprichii
285,Lophoceros nasutus
286,Lophoceros pallidirostris
287,Lophoceros semifasciatus
288,Ocyceros birostris
289,Ocyceros gingalensis
290,Ocyceros griseus
291,Penelopides affinis
292,Penelopides manillae
293,Penelopides mindorensis
294,Penelopides panini
295,Rhabdotorrhinus corrugatus
296,Rhabdotorrhinus exarhatus
297,Rhabdotorrhinus leucocephalus
298,Rhabdotorrhinus waldeni
299,Rhinoplax vigil
300,Rhyticeros cassidix
301,Rhyticeros everetti
302,Rhyticeros narcondami
303,Rhyticeros plicatus
304,Rhyticeros subruficollis
305,Rhyticeros undulatus
306,Tockus damarensis
307,Tockus deckeni
308,Tockus erythrorhynchus
309,Tockus flavirostris
310,Tockus jacksoni
311,Tockus leucomelas
312,Tockus monteiri
313,Phoeniculus bollei
314,Phoeniculus damarensis
315,Phoeniculus purpureus
316,Phoeniculus somaliensis
317,Rhinopomastus aterrimus
318,Rhinopomastus castaneiceps
319,Rhinopomastus cyanomelas
320,Rhinopomastus minor
321,Upupa epops
322,Upupa marginata
323,Cariama cristata
324,Chunga burmeisteri
325,Cathartes aura
326,Cathartes burrovianus
327,Cathartes melambrotus
328,Coragyps atratus
329,Gymnogyps californianus
330,Sarcoramphus papa
331,Vultur gryphus
332,Colius castanotus
333,Colius colius
334,Colius leucocephalus
335,Colius striatus
336,Urocolius indicus
337,Urocolius macrourus
338,Actenoides bougainvillei
339,Actenoides capucinus
340,Actenoides concretus
341,Actenoides excelsus
342,Actenoides hombroni
343,Actenoides lindsayi
344,Actenoides monachus
345,Actenoides princeps
346,Actenoides regalis
347,Alcedo atthis
348,Alcedo coerulescens
349,Alcedo euryzona
350,Alcedo hercules
351,Alcedo meninting
352,Alcedo peninsulae
353,Alcedo quadribrachys
354,Alcedo semitorquata
355,Caridonax fulgidus
356,Ceryle rudis
357,Ceyx argentatus
358,Ceyx azureus
359,Ceyx cajeli
360,Ceyx collectoris
361,Ceyx cyanopectus
362,Ceyx dispar
363,Ceyx erithaca
364,Ceyx fallax
365,Ceyx flumenicola
366,Ceyx gentianus
367,Ceyx lepidus
368,Ceyx margarethae
369,Ceyx meeki
370,Ceyx melanurus
371,Ceyx mindanensis
372,Ceyx mulcatus
373,Ceyx nigrirostris
374,Ceyx nigromaxilla
375,Ceyx pusillus
376,Ceyx sacerdotis
377,Ceyx sangirensis
378,Ceyx solitarius
379,Ceyx wallacii
380,Ceyx websteri
381,Chloroceryle aenea
382,Chloroceryle amazona
383,Chloroceryle americana
384,Chloroceryle inda
385,Cittura cyanotis
386,Cittura sanghirensis
387,Clytoceyx rex
388,Corythornis cristatus
389,Corythornis leucogaster
390,Corythornis madagascariensis
391,Corythornis nais
392,Corythornis thomensis
393,Corythornis vintsioides
394,Dacelo gaudichaud
395,Dacelo leachii
396,Dacelo novaeguineae
397,Dacelo tyro
398,Halcyon albiventris
399,Halcyon badia
400,Halcyon chelicuti
401,Halcyon coromanda
402,Halcyon cyanoventris
403,Halcyon gularis
404,Halcyon leucocephala
405,Halcyon malimbica
406,Halcyon pileata
407,Halcyon senegalensis
408,Halcyon senegaloides
409,Halcyon smyrnensis
410,Ispidina lecontei
411,Ispidina picta
412,Lacedo melanops
413,Lacedo pulchella
414,Megaceryle alcyon
415,Megaceryle lugubris
416,Megaceryle maxima
417,Megaceryle torquata
418,Melidora macrorrhina
419,Pelargopsis amauroptera
420,Pelargopsis capensis
421,Pelargopsis melanorhyncha
422,Syma megarhyncha
423,Syma torotoro
424,Tanysiptera carolinae
425,Tanysiptera danae
426,Tanysiptera ellioti
427,Tanysiptera galatea
428,Tanysiptera hydrocharis
429,Tanysiptera nigriceps
430,Tanysiptera nympha
431,Tanysiptera riedelii
432,Tanysiptera sylvia
433,Todiramphus albonotatus
434,Todiramphus australasia
435,Todiramphus chloris
436,Todiramphus cinnamominus
437,Todiramphus diops
438,Todiramphus enigma
439,Todiramphus farquhari
440,Todiramphus funebris
441,Todiramphus gambieri
442,Todiramphus godeffroyi
443,Todiramphus lazuli
444,Todiramphus leucopygius
445,Todiramphus macleayii
446,Todiramphus nigrocyaneus
447,Todiramphus pelewensis
448,Todiramphus pyrrhopygius
449,Todiramphus recurvirostris
450,Todiramphus reichenbachii
451,Todiramphus ruficollaris
452,Todiramphus sanctus
453,Todiramphus saurophagus
454,Todiramphus tutus
455,Todiramphus veneratus
456,Todiramphus winchelli
457,Todiramphus youngi
458,Atelornis crossleyi
459,Atelornis pittoides
460,Brachypteracias leptosomus
461,Geobiastes squamiger
462,Uratelornis chimaera
463,Coracias abyssinicus
464,Coracias affinis
465,Coracias benghalensis
466,Coracias caudatus
467,Coracias cyanogaster
468,Coracias garrulus
469,Coracias naevius
470,Coracias spatulatus
471,Coracias temminckii
472,Eurystomus azureus
473,Eurystomus glaucurus
474,Eurystomus gularis
475,Eurystomus orientalis
476,Meropogon forsteni
477,Merops albicollis
478,Merops americanus
479,Merops apiaster
480,Merops boehmi
481,Merops breweri
482,Merops bullockoides
483,Merops bulocki
484,Merops cyanophrys
485,Merops gularis
486,Merops hirundineus
487,Merops lafresnayii
488,Merops leschenaulti
489,Merops malimbicus
490,Merops mentalis
491,Merops muelleri
492,Merops nubicoides
493,Merops nubicus
494,Merops oreobates
495,Merops orientalis
496,Merops ornatus
497,Merops persicus
498,Merops philippinus
499,Merops pusillus
500,Merops revoilii
501,Merops superciliosus
502,Merops variegatus
503,Merops viridis
504,Merops viridissimus
505,Nyctyornis amictus
506,Nyctyornis athertoni
507,Aspatha gularis
508,Baryphthengus martii
509,Baryphthengus ruficapillus
510,Electron carinatum
511,Electron platyrhynchum
512,Eumomota superciliosa
513,Hylomanes momotula
514,Momotus aequatorialis
515,Momotus bahamensis
516,Momotus coeruliceps
517,Momotus lessonii
518,Momotus mexicanus
519,Momotus momota
520,Momotus subrufescens
521,Todus angustirostris
522,Todus mexicanus
523,Todus multicolor
524,Todus subulatus
525,Todus todus
526,Caracara cheriway
527,Caracara plancus
528,Daptrius ater
529,Falco alopex
530,Falco amurensis
531,Falco araeus
532,Falco ardosiaceus
533,Falco berigora
534,Falco biarmicus
535,Falco cenchroides
536,Falco cherrug
537,Falco chicquera
538,Falco columbarius
539,Falco concolor
540,Falco cuvierii
541,Falco deiroleucus
542,Falco dickinsoni
543,Falco eleonorae
544,Falco fasciinucha
545,Falco femoralis
546,Falco hypoleucos
547,Falco jugger
548,Falco longipennis
549,Falco mexicanus
550,Falco moluccensis
551,Falco naumanni
552,Falco newtoni
553,Falco novaeseelandiae
554,Falco peregrinus
555,Falco punctatus
556,Falco ruficollis
557,Falco rufigularis
558,Falco rupicoloides
559,Falco rusticolus
560,Falco severus
561,Falco sparverius
562,Falco subbuteo
563,Falco subniger
564,Falco tinnunculus
565,Falco vespertinus
566,Falco zoniventris
567,Herpetotheres cachinnans
568,Ibycter americanus
569,Micrastur buckleyi
570,Micrastur gilvicollis
571,Micrastur mintoni
572,Micrastur mirandollei
573,Micrastur plumbeus
574,Micrastur ruficollis
575,Micrastur semitorquatus
576,Microhierax caerulescens
577,Microhierax erythrogenys
578,Microhierax fringillarius
579,Microhierax latifrons
580,Microhierax melanoleucos
581,Milvago chimachima
582,Phalcoboenus albogularis
583,Phalcoboenus australis
584,Phalcoboenus carunculatus
585,Phalcoboenus chimango
586,Phalcoboenus megalopterus
587,Polihierax insignis
588,Polihierax semitorquatus
589,Spiziapteryx circumcincta
590,Leptosomus discolor
591,Acanthisitta chloris
592,Xenicus gilviventris
593,Acanthiza apicalis
594,Acanthiza chrysorrhoa
595,Acanthiza cinerea
596,Acanthiza ewingii
597,Acanthiza inornata
598,Acanthiza iredalei
599,Acanthiza katherina
600,Acanthiza lineata
601,Acanthiza murina
602,Acanthiza nana
603,Acanthiza pusilla
604,Acanthiza reguloides
605,Acanthiza robustirostris
606,Acanthiza uropygialis
607,Acanthornis magna
608,Aphelocephala leucopsis
609,Aphelocephala nigricincta
610,Aphelocephala pectoralis
611,Calamanthus campestris
612,Calamanthus cautus
613,Calamanthus fuliginosus
614,Calamanthus montanellus
615,Calamanthus pyrrhopygius
616,Crateroscelis murina
617,Crateroscelis nigrorufa
618,Crateroscelis robusta
619,Gerygone albofrontata
620,Gerygone chloronota
621,Gerygone chrysogaster
622,Gerygone citrina
623,Gerygone dorsalis
624,Gerygone flavolateralis
625,Gerygone fusca
626,Gerygone hypoxantha
627,Gerygone igata
628,Gerygone inornata
629,Gerygone levigaster
630,Gerygone magnirostris
631,Gerygone modesta
632,Gerygone mouki
633,Gerygone olivacea
634,Gerygone palpebrosa
635,Gerygone ruficollis
636,Gerygone sulphurea
637,Gerygone tenebrosa
638,Oreoscopus gutturalis
639,Origma solitaria
640,Pachycare flavogriseum
641,Pycnoptilus floccosus
642,Pyrrholaemus brunneus
