,Unnamed: 0,SpeciesName,NumReferences,NumChar,NumWords,Error,Cluster
0,0,Accipiter albogularis,2,359,56,200,0
1,1,Accipiter badius,35,6188,1023,200,0
2,2,Accipiter bicolor,17,5405,863,200,0
3,3,Accipiter brachyurus,3,1646,278,200,0
4,4,Accipiter brevipes,14,4300,716,200,0
5,5,Accipiter butleri,3,660,110,200,0
6,6,Accipiter castanilius,5,1852,302,200,0
7,7,Accipiter cirrocephalus,7,3558,582,200,0
8,8,Accipiter collaris,6,3786,602,200,0
9,9,Accipiter cooperii,487,148654,23445,200,1
10,10,Accipiter erythrauchen,2,470,74,200,0
11,11,Accipiter erythropus,7,1973,321,200,0
12,12,Accipiter fasciatus,5,2361,385,200,0
13,13,Accipiter francesiae,9,4190,697,200,0
14,14,Accipiter gentilis,315,96436,15269,200,1
15,15,Accipiter griseiceps,1,341,52,200,0
16,16,Accipiter gularis,15,8615,1331,200,0
17,17,Accipiter gundlachi,7,3759,626,200,0
18,18,Accipiter haplochrous,1,504,78,200,0
19,19,Accipiter henicogrammus,1,366,55,200,0
20,20,Accipiter henstii,16,8407,1319,200,0
21,21,Accipiter hiogaster,2,330,51,200,0
22,22,Accipiter imitator,1,464,72,200,0
23,23,Accipiter luteoschistaceus,1,432,64,200,0
24,24,Accipiter madagascariensis,5,2860,433,200,0
25,25,Accipiter melanochlamys,5,1181,184,200,0
26,26,Accipiter melanoleucus,28,14326,2324,200,0
27,27,Accipiter meyerianus,2,536,80,200,0
28,28,Accipiter minullus,7,3985,675,200,0
29,29,Accipiter nanus,2,866,140,200,0
30,30,Accipiter nisus,108,35250,5721,200,0
31,31,Accipiter novaehollandiae,17,3851,628,200,0
32,32,Accipiter ovampensis,5,3498,587,200,0
33,33,Accipiter poliocephalus,1,783,126,200,0
34,34,Accipiter poliogaster,20,6593,1036,200,0
35,35,Accipiter princeps,3,624,99,200,0
36,36,Accipiter rhodogaster,3,444,66,200,0
37,37,Accipiter rufitorques,7,2043,342,200,0
38,38,Accipiter rufiventris,7,3187,508,200,0
39,39,Accipiter soloensis,3,993,163,200,0
40,40,Accipiter striatus,8,9263,1463,200,0
41,41,Accipiter superciliosus,12,5596,900,200,0
42,42,Accipiter sylvestris,1,295,47,200,0
43,43,Accipiter tachiro,6,3890,640,200,0
44,44,Accipiter toussenelii,8,4216,715,200,0
45,45,Accipiter trinotatus,1,367,55,200,0
46,46,Accipiter trivirgatus,8,2600,426,200,0
47,47,Accipiter virgatus,2,1424,234,200,0
