,SpeciesName,NumReferences,NumChar,NumWords,Error
0,Accipiter albogularis,2,359,56,200
1,Accipiter badius,35,6188,1023,200
2,Accipiter bicolor,17,5405,863,200
3,Accipiter brachyurus,3,1646,278,200
4,Accipiter brevipes,14,4300,716,200
5,Accipiter butleri,3,660,110,200
6,Accipiter castanilius,5,1852,302,200
7,Accipiter cirrocephalus,7,3558,582,200
8,Accipiter collaris,6,3786,602,200
9,Accipiter cooperii,487,148654,23445,200
10,Accipiter erythrauchen,2,470,74,200
11,Accipiter erythropus,7,1973,321,200
12,Accipiter fasciatus,5,2361,385,200
13,Accipiter francesiae,9,4190,697,200
14,Accipiter gentilis,315,96436,15269,200
15,Accipiter griseiceps,1,341,52,200
16,Accipiter gularis,15,8615,1331,200
17,Accipiter gundlachi,7,3759,626,200
18,Accipiter haplochrous,1,504,78,200
19,Accipiter henicogrammus,1,366,55,200
20,Accipiter henstii,16,8407,1319,200
21,Accipiter hiogaster,2,330,51,200
22,Accipiter imitator,1,464,72,200
23,Accipiter luteoschistaceus,1,432,64,200
24,Accipiter madagascariensis,5,2860,433,200
25,Accipiter melanochlamys,5,1181,184,200
26,Accipiter melanoleucus,28,14326,2324,200
27,Accipiter meyerianus,2,536,80,200
28,Accipiter minullus,7,3985,675,200
29,Accipiter nanus,2,866,140,200
30,Accipiter nisus,108,35250,5721,200
31,Accipiter novaehollandiae,17,3851,628,200
32,Accipiter ovampensis,5,3498,587,200
33,Accipiter poliocephalus,1,783,126,200
34,Accipiter poliogaster,20,6593,1036,200
35,Accipiter princeps,3,624,99,200
36,Accipiter rhodogaster,3,444,66,200
37,Accipiter rufitorques,7,2043,342,200
38,Accipiter rufiventris,7,3187,508,200
39,Accipiter soloensis,3,993,163,200
40,Accipiter striatus,8,9263,1463,200
41,Accipiter superciliosus,12,5596,900,200
42,Accipiter sylvestris,1,295,47,200
43,Accipiter tachiro,6,3890,640,200
44,Accipiter toussenelii,8,4216,715,200
45,Accipiter trinotatus,1,367,55,200
46,Accipiter trivirgatus,8,2600,426,200
47,Accipiter virgatus,2,1424,234,200
48,Aegypius monachus,37,19490,3169,200
49,Aquila adalberti,28,8705,1421,200
50,Aquila africana,15,7999,1254,200
51,Aquila audax,238,101941,16040,200
52,Aquila chrysaetos,121,48325,7701,200
53,Aquila fasciata,222,72310,11362,200
54,Aquila gurneyi,5,1586,275,200
55,Aquila heliaca,174,64357,10167,200
56,Aquila nipalensis,264,105183,16844,200
57,Aquila rapax,219,78060,12316,200
58,Aquila spilogaster,80,43713,7037,200
59,Aquila verreauxii,98,40701,6554,200
60,Aviceda cuculoides,5,3356,533,200
61,Aviceda jerdoni,10,1626,254,200
62,Aviceda leuphotes,24,3760,622,200
63,Aviceda madagascariensis,4,2167,378,200
64,Aviceda subcristata,18,7604,1216,200
65,Busarellus nigricollis,7,2701,430,200
66,Butastur indicus,14,7358,1198,200
67,Butastur liventer,1,1002,164,200
68,Butastur rufipennis,5,4159,692,200
69,Butastur teesa,26,4884,801,200
70,Buteo albigula,5,3757,615,200
71,Buteo albonotatus,12,8927,1471,200
72,Buteo augur,22,8288,1365,200
73,Buteo auguralis,5,2165,365,200
74,Buteo brachypterus,4,2146,361,200
75,Buteo brachyurus,12,5137,822,200
76,Buteo buteo,235,86696,13666,200
77,Buteo galapagoensis,18,7735,1275,200
78,Buteo hemilasius,41,12937,2025,200
79,Buteo jamaicensis,315,120350,18869,200
80,Buteo japonicus,3,512,84,200
81,Buteo lagopus,35,13140,2056,200
82,Buteo lineatus,29,12811,2001,200
83,Buteo nitidus,7,1348,237,200
84,Buteo oreophilus,3,2615,431,200
85,Buteo plagiatus,14,7118,1190,200
86,Buteo platypterus,27,8073,1319,200
87,Buteo refectus,5,566,87,200
88,Buteo regalis,45,25091,4011,200
89,Buteo ridgwayi,1,2728,431,200
90,Buteo rufinus,110,46165,7266,200
91,Buteo rufofuscus,22,8683,1456,200
92,Buteo socotraensis,5,2922,480,200
93,Buteo solitarius,6,3058,512,200
94,Buteo swainsoni,17,19709,3160,200
95,Buteo trizonatus,5,4334,713,200
96,Buteo ventralis,12,3724,586,200
97,Buteogallus aequinoctialis,11,3780,628,200
98,Buteogallus anthracinus,9,2495,401,200
99,Buteogallus coronatus,13,5868,963,200
100,Buteogallus gundlachii,4,2150,359,200
101,Buteogallus lacernulatus,4,2867,470,200
102,Buteogallus meridionalis,7,1399,236,200
103,Buteogallus schistaceus,2,846,135,200
104,Buteogallus solitarius,5,1773,301,200
105,Buteogallus urubitinga,16,3214,538,200
106,Chelictinia riocourii,14,3832,621,200
107,Chondrohierax uncinatus,11,2151,347,200
108,Chondrohierax wilsonii,5,1645,262,200
109,Circaetus beaudouini,4,2662,425,200
110,Circaetus cinerascens,1,1829,300,200
111,Circaetus cinereus,10,7242,1197,200
112,Circaetus fasciolatus,4,2386,407,200
113,Circaetus gallicus,21,4041,678,200
114,Circaetus pectoralis,4,7451,1173,200
115,Circus aeruginosus,21,7622,1233,200
116,Circus approximans,13,4003,645,200
117,Circus assimilis,5,5744,929,200
118,Circus buffoni,19,6865,1114,200
119,Circus cinereus,7,1940,328,200
120,Circus cyaneus,27,9265,1541,200
121,Circus hudsonius,22,7409,1228,200
122,Circus macrosceles,1,1955,340,200
123,Circus macrourus,5,2053,349,200
124,Circus maillardi,9,3958,628,200
125,Circus maurus,6,7267,1133,200
126,Circus melanoleucos,3,676,104,200
127,Circus pygargus,16,12875,2096,200
128,Circus ranivorus,5,4503,726,200
129,Circus spilonotus,1,2208,377,200
130,Circus spilothorax,1,1116,188,200
131,Clanga clanga,181,72605,11204,200
132,Clanga hastata,8,2402,393,200
133,Clanga pomarina,13,3409,539,200
134,Cryptoleucopteryx plumbea,2,405,63,200
135,Dryotriorchis spectabilis,18,8639,1398,200
136,Elanoides forficatus,20,6278,999,200
137,Elanus axillaris,40,16715,2704,200
138,Elanus caeruleus,40,8055,1282,200
139,Elanus leucurus,1,3559,569,200
140,Elanus scriptus,29,13701,2210,200
141,Erythrotriorchis buergersi,3,226,35,200
142,Erythrotriorchis radiatus,6,4698,742,200
143,Eutriorchis astur,8,1816,302,200
144,Gampsonyx swainsonii,10,2620,437,200
145,Geranoaetus albicaudatus,9,4951,832,200
146,Geranoaetus melanoleucus,24,12654,2033,200
147,Geranoaetus polyosoma,9,4372,708,200
148,Geranospiza caerulescens,6,2123,324,200
149,Gypaetus barbatus,52,19009,3120,200
150,Gypohierax angolensis,20,6402,1041,200
151,Gyps africanus,23,9261,1476,200
152,Gyps bengalensis,54,10801,1754,200
153,Gyps coprotheres,24,5973,969,200
154,Gyps fulvus,33,7990,1292,200
155,Gyps himalayensis,24,6752,1106,200
156,Gyps indicus,42,12078,1941,200
157,Gyps rueppelli,21,7269,1166,200
158,Gyps tenuirostris,12,3289,517,200
159,Haliaeetus albicilla,304,133421,21332,200
160,Haliaeetus leucocephalus,227,58122,9314,200
161,Haliaeetus leucogaster,89,25533,4108,200
162,Haliaeetus leucoryphus,15,6152,992,200
163,Haliaeetus pelagicus,69,26932,4351,200
164,Haliaeetus sanfordi,8,2047,342,200
165,Haliaeetus vocifer,25,7030,1160,200
166,Haliaeetus vociferoides,8,2866,466,200
167,Haliastur indus,31,5700,931,200
168,Haliastur sphenurus,7,4956,798,200
169,Hamirostra melanosternon,25,9812,1486,200
170,Harpagus bidentatus,10,4678,752,200
171,Harpagus diodon,7,3712,612,200
172,Harpia harpyja,93,23741,3879,200
173,Harpyopsis novaeguineae,27,14997,2467,200
174,Helicolestes hamatus,6,3178,518,200
175,Henicopernis infuscatus,7,3774,601,200
176,Henicopernis longicauda,2,369,56,200
177,Hieraaetus ayresii,12,7683,1305,200
178,Hieraaetus morphnoides,27,9215,1503,200
179,Hieraaetus pennatus,23,8134,1300,200
180,Hieraaetus wahlbergi,18,3481,559,200
181,Hieraaetus weiskei,8,3243,553,200
182,Icthyophaga humilis,8,3681,596,200
183,Icthyophaga ichthyaetus,12,9606,1559,200
184,Ictinaetus malaiensis,25,4822,804,200
185,Ictinia mississippiensis,14,5322,864,200
186,Ictinia plumbea,10,3045,502,200
187,Kaupifalco monogrammicus,13,5733,897,200
188,Leptodon cayanensis,4,1713,287,200
189,Leptodon forbesi,6,2634,405,200
190,Leucopternis kuhli,5,2210,371,200
191,Leucopternis melanops,13,4513,736,200
192,Leucopternis semiplumbeus,5,3097,491,200
193,Lophaetus occipitalis,10,7221,1184,200
194,Lophoictinia isura,8,7525,1169,200
195,Lophotriorchis kienerii,16,3595,580,200
196,Macheiramphus alcinus,14,4181,696,200
197,Megatriorchis doriae,5,3321,566,200
198,Melierax canorus,13,4202,698,200
199,Melierax metabates,8,4404,704,200
200,Melierax poliopterus,7,3067,508,200
201,Micronisus gabar,6,3331,551,200
202,Milvus aegyptius,7,2077,329,200
203,Milvus migrans,60,11001,1787,200
204,Milvus milvus,76,17868,2915,200
205,Morphnarchus princeps,10,4060,682,200
206,Morphnus guianensis,26,9701,1602,200
207,Necrosyrtes monachus,27,10237,1602,200
208,Neophron percnopterus,104,19999,3187,200
209,Nisaetus alboniger,3,819,139,200
210,Nisaetus bartelsi,6,2576,427,200
211,Nisaetus cirrhatus,82,36649,5771,200
212,Nisaetus floris,12,5198,832,200
213,Nisaetus lanceolatus,2,803,118,200
214,Nisaetus nanus,8,692,110,200
215,Nisaetus nipalensis,103,40016,6340,200
216,Nisaetus philippensis,6,2358,354,200
217,Nisaetus pinskeri,9,3685,577,200
218,Parabuteo leucorrhous,9,2979,480,200
219,Parabuteo unicinctus,54,10323,1623,200
220,Pernis apivorus,19,5793,932,200
221,Pernis celebensis,1,293,46,200
222,Pernis ptilorhynchus,23,12786,2107,200
223,Pernis steerei,9,4688,727,200
224,Pithecophaga jefferyi,61,22706,3694,200
225,Polemaetus bellicosus,201,72900,11828,200
226,Polyboroides radiatus,4,2517,407,200
227,Polyboroides typus,11,4852,786,200
228,Pseudastur albicollis,15,3860,628,200
229,Pseudastur occidentalis,7,2801,435,200
230,Pseudastur polionotus,17,6261,973,200
231,Rostrhamus sociabilis,20,5517,889,200
232,Rupornis magnirostris,20,4172,669,200
233,Sarcogyps calvus,10,4321,662,200
234,Spilornis cheela,36,7658,1307,200
235,Spilornis elgini,14,5978,953,200
236,Spilornis holospilus,3,1281,207,200
237,Spilornis kinabaluensis,2,712,109,200
238,Spilornis klossi,3,837,151,200
239,Spilornis rufipectus,2,297,47,200
240,Spizaetus isidori,25,9481,1478,200
241,Spizaetus melanoleucus,16,8080,1312,200
242,Spizaetus ornatus,135,60153,9534,200
243,Spizaetus tyrannus,14,2796,446,200
244,Stephanoaetus coronatus,111,63060,10141,200
245,Terathopius ecaudatus,150,66239,10462,200
246,Torgos tracheliotos,15,10104,1646,200
247,Trigonoceps occipitalis,14,6552,1019,200
248,Urotriorchis macrourus,6,2421,401,200
249,Pandion haliaetus,78,16580,2678,200
250,Sagittarius serpentarius,1,22799,3737,200
251,Aceros nipalensis,13,3917,619,200
252,Anorrhinus austeni,4,1314,204,200
253,Anorrhinus galeritus,3,854,117,200
254,Anorrhinus tickelli,2,832,125,200
255,Anthracoceros albirostris,15,9415,1412,200
256,Anthracoceros coronatus,13,3743,601,200
257,Anthracoceros malayanus,7,1389,227,200
258,Anthracoceros marchei,7,3803,594,200
259,Anthracoceros montani,7,2021,330,200
260,Berenicornis comatus,4,2007,333,200
261,Buceros bicornis,51,10339,1698,200
262,Buceros hydrocorax,9,3757,601,200
263,Buceros mindanensis,3,872,133,200
264,Buceros rhinoceros,11,3441,590,200
265,Bucorvus abyssinicus,15,8319,1376,200
266,Bucorvus leadbeateri,41,14162,2251,200
267,Bycanistes albotibialis,1,457,64,200
268,Bycanistes brevis,1,1266,210,200
269,Bycanistes bucinator,3,1633,266,200
270,Bycanistes cylindricus,4,2903,463,200
271,Bycanistes fistulator,1,407,68,200
273,Bycanistes subcylindricus,1,4177,660,200
274,Ceratogymna atrata,4,996,158,200
275,Ceratogymna elata,2,1347,229,200
276,Horizocerus albocristatus,5,1631,235,200
277,Horizocerus cassini,5,920,130,200
278,Horizocerus granti,4,985,148,200
279,Horizocerus hartlaubi,4,1114,170,200
280,Lophoceros alboterminatus,1,1052,173,200
281,Lophoceros bradfieldi,2,774,123,200
282,Lophoceros camurus,1,263,38,200
283,Lophoceros fasciatus,2,1329,232,200
284,Lophoceros hemprichii,2,455,68,200
285,Lophoceros nasutus,11,3373,543,200
286,Lophoceros pallidirostris,1,291,41,200
287,Lophoceros semifasciatus,4,591,90,200
288,Ocyceros birostris,20,3828,655,200
289,Ocyceros gingalensis,1,1348,234,200
290,Ocyceros griseus,14,4706,780,200
291,Penelopides affinis,2,1130,177,200
292,Penelopides manillae,11,2461,379,200
293,Penelopides mindorensis,6,3456,556,200
294,Penelopides panini,9,3623,587,200
295,Rhabdotorrhinus corrugatus,1,1761,303,200
296,Rhabdotorrhinus exarhatus,1,1718,277,200
297,Rhabdotorrhinus leucocephalus,1,585,87,200
298,Rhabdotorrhinus waldeni,8,5628,914,200
299,Rhinoplax vigil,18,5564,920,200
300,Rhyticeros cassidix,4,1672,275,200
301,Rhyticeros everetti,3,1256,203,200
302,Rhyticeros narcondami,22,5377,879,200
303,Rhyticeros plicatus,11,3084,508,200
304,Rhyticeros subruficollis,3,637,93,200
305,Rhyticeros undulatus,29,9772,1556,200
306,Tockus damarensis,1,1152,184,200
307,Tockus deckeni,2,1830,326,200
308,Tockus erythrorhynchus,2,495,68,200
309,Tockus flavirostris,1,449,64,200
310,Tockus jacksoni,1,396,63,200
311,Tockus leucomelas,4,7705,1290,200
312,Tockus monteiri,2,1287,218,200
313,Phoeniculus bollei,6,1752,274,200
314,Phoeniculus damarensis,4,874,133,200
315,Phoeniculus purpureus,7,2309,381,200
316,Phoeniculus somaliensis,4,1699,290,200
317,Rhinopomastus aterrimus,2,567,83,200
318,Rhinopomastus castaneiceps,1,362,54,200
319,Rhinopomastus cyanomelas,1,476,70,200
320,Rhinopomastus minor,10,4940,823,200
321,Upupa epops,41,12799,2127,200
322,Upupa marginata,4,2933,481,200
323,Cariama cristata,23,7812,1257,200
324,Chunga burmeisteri,26,7491,1187,200
325,Cathartes aura,87,19152,3096,200
326,Cathartes burrovianus,29,9424,1521,200
327,Cathartes melambrotus,29,10055,1619,200
328,Coragyps atratus,73,18767,3026,200
329,Gymnogyps californianus,139,31750,5066,200
330,Sarcoramphus papa,59,19018,3115,200
331,Vultur gryphus,80,20374,3320,200
332,Colius castanotus,7,2585,413,200
333,Colius colius,1,2706,458,200
334,Colius leucocephalus,1,945,164,200
