,SpeciesName,NumReferences,NumChar,NumWords,Error
272,Bycanistes sharpii,0,45,7,404
371,Ceyx mindanensis,0,45,7,404
373,Ceyx nigrirostris,0,45,7,404
412,Lacedo melanops,0,45,7,404
457,Todiramphus youngi,0,45,7,404
695,Calamonastides bensoni,0,45,7,404
718,Aegithalos iredalei,0,45,7,404
907,Coracina panayensis,0,45,7,404
920,Edolisoma grayi,0,45,7,404
925,Edolisoma meyerii,0,45,7,404
931,Edolisoma obiense,0,45,7,404
934,Edolisoma pygmaeum,0,45,7,404
953,Lalage minor,0,45,7,404
976,Pericrocotus montanus,0,45,7,404
994,Granatellus francescae,0,45,7,404
995,Granatellus paraensis,0,45,7,404
1110,Camaroptera toroensis,0,45,7,404
1117,Cisticola bailunduensis,0,45,7,404
1179,Neomixis pallidior,0,45,7,404
1224,Prinia sonitans,0,45,7,404
1319,Cyanocorax coeruleus,0,45,7,404
1342,Cyanolyca quindiuna,0,45,7,404
1354,Garrulus bispecularis,0,45,7,404
1357,Garrulus leucotis,0,45,7,404
1362,Nucifraga hemispila,0,45,7,404
1387,Urocissa xanthomelana,0,45,7,404
1439,Pipreola squamipectus,0,45,7,404
1479,Dicaeum hanieli,0,45,7,404
1482,Dicaeum ignicolle,0,45,7,404
1507,Dicaeum wilhelminae,0,45,7,404
1639,Lagonosticta nigricollis,0,45,7,404
1683,Neochmia evangelinae,0,45,7,404
1762,Carduelis caniceps,0,45,7,404
1856,Euphonia flavifrons,0,45,7,404
1871,Euphonia sclateri,0,45,7,404
1930,Pyrrhula waterstradti,0,45,7,404
1977,Aphrastura masafucrae,0,45,7,404
2028,Cichlocolaptes holti,0,45,7,404
2038,Cinclodes maculirostris,0,45,7,404
2088,Dendrocolaptes punctipectus,0,45,7,404
2128,Lepidocolaptes neglectus,0,45,7,404
2133,Leptasthenura berlepschi,0,45,7,404
2135,Leptasthenura pallida,0,45,7,404
2176,Premnoplex pariae,0,45,7,404
2195,Sclerurus cearensis,0,45,7,404
2202,Sittasomus griseus,0,45,7,404
2279,Xiphorhynchus aequatorialis,0,45,7,404
2373,Hirundo javanica,0,45,7,404
2418,Ptyonoprogne rufigula,0,45,7,404
2445,Hylocitrea bonthaina,0,45,7,404
2463,Cacicus flavicrissus,0,45,7,404
2491,Icterus bullockiorum,0,45,7,404
2544,Psarocolius oleagineus,0,45,7,404
2604,Actinodura radcliffei,0,45,7,404
2639,Garrulax cinereiceps,0,45,7,404
2658,Garrulax monachus,0,45,7,404
2693,Leiothrix laurinae,0,45,7,404
2706,Phyllanthus bohndorffi,0,45,7,404
2707,Phyllanthus rubiginosus,0,45,7,404
2746,Turdoides somervillei,0,45,7,404
2806,Poodytes caudatus,0,45,7,404
2831,Sylvietta leucopsis,0,45,7,404
2951,Entomyzon albipennis,0,45,7,404
2964,Gliciphila notabilis,0,45,7,404
2965,Gliciphila undulata,0,45,7,404
3018,Microptilotis albilineatus,0,45,7,404
3023,Microptilotis fordianus,0,45,7,404
3029,Microptilotis reticulatus,0,45,7,404
3203,Monarcha megarhynchus,0,45,7,404
3235,Symposiachrus ateralbus,0,45,7,404
3385,Copsychus pica,0,45,7,404
3436,Dessonornis macclounii,0,45,7,404
3437,Dessonornis mbuluensis,0,45,7,404
3453,Eumyias ruficrissa,0,45,7,404
3499,Heinrichia simplex,0,45,7,404
3612,Oreocossypha isabellae,0,45,7,404
3667,Tychaedon barbata,0,45,7,404
3668,Tychaedon coryphoeus,0,45,7,404
3669,Tychaedon leucosticta,0,45,7,404
3670,Tychaedon quadrivirgata,0,45,7,404
3671,Tychaedon signata,0,45,7,404
3686,Aethopyga latouchii,0,45,7,404
3768,Cinnyris melanogastrus,0,45,7,404
3794,Cinnyris voeltzkowi,0,45,7,404
3810,Kurochkinegramma hypogrammica,0,45,7,404
3814,Leptocoma juliae,0,45,7,404
3941,Lophorina feminina,0,45,7,404
4040,Basileuterus auricapilla,0,45,7,404
4042,Basileuterus cabanisi,0,45,7,404
4060,Geothlypis bairdi,0,45,7,404
4088,Myioborus chrysops,0,45,7,404
4103,Myiothlypis euophrys,0,45,7,404
4110,Myiothlypis mesoleuca,0,45,7,404
4115,Myiothlypis striaticeps,0,45,7,404
4139,Setophaga graysoni,0,45,7,404
4178,Arremon axillaris,0,45,7,404
4187,Arremon nigriceps,0,45,7,404
4232,Atlapetes taczanowskii,0,45,7,404
4239,Chlorospingus hypophaeus,0,45,7,404
4262,Melozone occipitalis,0,45,7,404
4265,Passerculus bairdii,0,45,7,404
4267,Passerculus henslowii,0,45,7,404
4409,Turdinus calcicola,0,45,7,404
4437,Monachella coultasi,0,45,7,404
4450,Petroica dannefaerdi,0,45,7,404
4544,Phylloscopus sumatrensis,0,45,7,404
4652,Pitta morotaiensis,0,45,7,404
4684,Dyaphorophyia ansorgei,0,45,7,404
4699,Anaplectes leuconotos,0,45,7,404
4724,Foudia consobrina,0,45,7,404
4910,Atimastillas flavigula,0,45,7,404
4972,Ixidia cyaniventris,0,45,7,404
4973,Ixidia erythropthalmos,0,45,7,404
4974,Ixidia squamata,0,45,7,404
5132,Rhipidura assimilis,0,45,7,404
5135,Rhipidura bouruensis,0,45,7,404
5137,Rhipidura cinerea,0,45,7,404
5150,Rhipidura hoedti,0,45,7,404
5152,Rhipidura isura,0,45,7,404
5167,Rhipidura obiensis,0,45,7,404
5177,Rhipidura rufilateralis,0,45,7,404
5186,Rhipidura tenkatei,0,45,7,404
5284,Acridotheres tertius,0,45,7,404
5285,Acridotheres tricolor,0,45,7,404
5334,Lamprotornis benguelensis,0,45,7,404
5354,Lamprotornis violacior,0,45,7,404
5390,Streptocitta torquata,0,45,7,404
5431,Sinosuthora ricketti,0,45,7,404
5518,Epinecrophylla hoffmannsi,0,45,7,404
5558,Herpsilochmus scapularis,0,45,7,404
5643,Poliocrania maculifer,0,45,7,404
5658,Sakesphorus pulchellus,0,45,7,404
5669,Thamnistes aequatorialis,0,45,7,404
5702,Thamnophilus subfasciatus,0,45,7,404
5707,Willisornis nigrigula,0,45,7,404
5739,Chlorochrysa fulgentissima,0,45,7,404
5744,Chrysocorypha delatrii,0,45,7,404
5750,Cnemoscopus chrysogaster,0,45,7,404
5759,Conirostrum fraseri,0,45,7,404
5769,Corydospiza carbonaria,0,45,7,404
5820,Ephippiospingus dorsalis,0,45,7,404
5821,Ephippiospingus erythronotus,0,45,7,404
5859,Islerothraupis cristata,0,45,7,404
5860,Islerothraupis luctuosa,0,45,7,404
5861,Islerothraupis rufiventer,0,45,7,404
5876,Maschalethraupis surinama,0,45,7,404
5913,Pipraeidea darwinii,0,45,7,404
5961,Saltator multicolor,0,45,7,404
5987,Spodiornis rusticus,0,45,7,404
6022,Sporophila ophthalmica,0,45,7,404
6037,Tangara argentea,0,45,7,404
6040,Tangara atrocoerulea,0,45,7,404
6041,Tangara aurulenta,0,45,7,404
6059,Tangara flava,0,45,7,404
6062,Tangara fulvicervix,0,45,7,404
6073,Tangara lunigera,0,45,7,404
6095,Tangara versicolor,0,45,7,404
6098,Tangara whitelyi,0,45,7,404
6193,Pachyramphus griseigularis,0,45,7,404
6203,Pachyramphus uropygialis,0,45,7,404
6259,Cyphorhinus dichrous,0,45,7,404
6277,Pheugopedius columbianus,0,45,7,404
6286,Pheugopedius paucimaculatus,0,45,7,404
6288,Pheugopedius schulenbergi,0,45,7,404
6328,Catharus swainsoni,0,45,7,404
6331,Cichlopsis chubbi,0,45,7,404
6332,Cichlopsis gularis,0,45,7,404
6334,Cichlopsis peruviana,0,45,7,404
6381,Psophocichla simensis,0,45,7,404
6392,Turdus anthracinus,0,45,7,404
6393,Turdus ardosiaceus,0,45,7,404
6404,Turdus confinis,0,45,7,404
6405,Turdus debilis,0,45,7,404
6457,Turdus rubripes,0,45,7,404
6554,Elaenia cherriei,0,45,7,404
6598,Guyramemua affinis,0,45,7,404
6632,Knipolegus heterogyna,0,45,7,404
6639,Knipolegus sclateri,0,45,7,404
6645,Leptopogon albidiventer,0,45,7,404
6687,Muscisaxicola occipitalis,0,45,7,404
6743,Myiotriccus phoenicurus,0,45,7,404
6808,Platyrinchus albogularis,0,45,7,404
7009,Hylophilus insularis,0,45,7,404
7015,Hylophilus viridiflavus,0,45,7,404
7028,Tunchiornis luteifrons,0,45,7,404
7065,Vireolanius mikettae,0,45,7,404
7141,Zosterops kaffensis,0,45,7,404
7234,Notharchus subtectus,0,45,7,404
7254,Eubucco aurantiicollis,0,45,7,404
7256,Eubucco glaucogularis,0,45,7,404
7258,Eubucco steerii,0,45,7,404
7268,Galbula chalcocephala,0,45,7,404
7301,Gymnobucco cinereiceps,0,45,7,404
7304,Gymnobucco vernayi,0,45,7,404
7308,Lybius leucogaster,0,45,7,404
7310,Lybius senex,0,45,7,404
7331,Stactolaema leucogrammica,0,45,7,404
7334,Trachylaemus goffinii,0,45,7,404
7336,Trachylaemus togoensis,0,45,7,404
7338,Trachyphonus emini,0,45,7,404
7443,Colaptes cafer,0,45,7,404
7478,Dendropicos johnstoni,0,45,7,404
7646,Aulacorhynchus cyanolaemus,0,45,7,404
7733,Amazona bodini,0,45,7,404
7779,Belocercus longicaudus,0,45,7,404
7822,Cyclopsitta amabilis,0,45,7,404
7829,Diopsittaca cumanensis,0,45,7,404
7872,Himalayapsitta cyanocephala,0,45,7,404
7873,Himalayapsitta finschii,0,45,7,404
7874,Himalayapsitta himalayana,0,45,7,404
7875,Himalayapsitta roseata,0,45,7,404
7917,Nicopsitta calthrapae,0,45,7,404
7918,Nicopsitta columboides,0,45,7,404
7936,Pionus reichenowi,0,45,7,404
7995,Psittacella lorentzi,0,45,7,404
8042,Pyrrhura pacifica,0,45,7,404
8075,Trichoglossus iris,0,45,7,404
