SpeciesName,NumRef
Accipiter albogularis,2
Accipiter erythrauchen,2
Accipiter griseiceps,1
Accipiter haplochrous,1
Accipiter henicogrammus,1
Accipiter hiogaster,2
Accipiter imitator,1
Accipiter luteoschistaceus,1
Accipiter meyerianus,2
Accipiter nanus,2
Accipiter poliocephalus,1
Accipiter sylvestris,1
Accipiter trinotatus,1
Accipiter virgatus,2
Butastur liventer,1
Buteo ridgwayi,1
Buteogallus schistaceus,2
Circaetus cinerascens,1
Circus macrosceles,1
Circus spilonotus,1
Circus spilothorax,1
Cryptoleucopteryx plumbea,2
Elanus leucurus,1
Henicopernis longicauda,2
Nisaetus lanceolatus,2
Pernis celebensis,1
Spilornis kinabaluensis,2
Spilornis rufipectus,2
Sagittarius serpentarius,1
Anorrhinus tickelli,2
Bycanistes albotibialis,1
Bycanistes brevis,1
Bycanistes fistulator,1
Bycanistes subcylindricus,1
Ceratogymna elata,2
Lophoceros alboterminatus,1
Lophoceros bradfieldi,2
Lophoceros camurus,1
Lophoceros fasciatus,2
Lophoceros hemprichii,2
Lophoceros pallidirostris,1
Ocyceros gingalensis,1
Penelopides affinis,2
Rhabdotorrhinus corrugatus,1
Rhabdotorrhinus exarhatus,1
Rhabdotorrhinus leucocephalus,1
Tockus damarensis,1
Tockus deckeni,2
Tockus erythrorhynchus,2
Tockus flavirostris,1
Tockus jacksoni,1
Tockus monteiri,2
Rhinopomastus aterrimus,2
Rhinopomastus castaneiceps,1
Rhinopomastus cyanomelas,1
Colius colius,1
Colius leucocephalus,1
Actenoides concretus,2
Actenoides monachus,2
Alcedo peninsulae,2
Caridonax fulgidus,2
Ceyx sangirensis,1
Ceyx websteri,2
Halcyon coromanda,2
Halcyon malimbica,2
Pelargopsis melanorhyncha,2
Tanysiptera hydrocharis,1
Tanysiptera nympha,1
Todiramphus albonotatus,2
Todiramphus australasia,2
Todiramphus diops,2
Todiramphus enigma,2
Todiramphus farquhari,1
Todiramphus funebris,1
Todiramphus gambieri,1
Todiramphus lazuli,1
Todiramphus leucopygius,1
Todiramphus nigrocyaneus,2
Todiramphus recurvirostris,2
Todiramphus reichenbachii,1
Todiramphus ruficollaris,1
Todiramphus saurophagus,2
Meropogon forsteni,1
Merops albicollis,1
Merops boehmi,2
Merops breweri,2
Merops gularis,2
Merops hirundineus,2
Merops mentalis,2
Merops nubicoides,1
Nyctyornis amictus,1
Electron carinatum,2
Momotus coeruliceps,2
Momotus lessonii,1
Falco alopex,1
Falco araeus,2
Falco ardosiaceus,2
Falco cuvierii,1
Falco dickinsoni,2
Falco jugger,2
Falco rupicoloides,1
Falco zoniventris,1
Polihierax insignis,2
Acanthiza cinerea,1
Acanthiza inornata,1
Acanthiza katherina,1
Acanthiza murina,1
Acanthiza robustirostris,1
Aphelocephala pectoralis,1
Gerygone chloronota,2
Gerygone chrysogaster,2
Gerygone citrina,2
Gerygone dorsalis,2
Gerygone hypoxantha,2
Gerygone inornata,1
Gerygone magnirostris,2
Gerygone modesta,1
Gerygone mouki,2
Gerygone ruficollis,1
Gerygone sulphurea,2
Sericornis keri,1
Sericornis nouhuysi,2
Acrocephalus atyphus,2
Acrocephalus caffer,1
Acrocephalus concinens,2
Acrocephalus dumetorum,2
Acrocephalus familiaris,2
Acrocephalus gracilirostris,2
Acrocephalus hiwae,2
Acrocephalus kerearako,1
Acrocephalus mendanae,1
Acrocephalus newtoni,1
Acrocephalus orientalis,1
Acrocephalus percernis,1
Acrocephalus rimitarae,2
Acrocephalus rufescens,2
Acrocephalus stentoreus,2
Acrocephalus syrinx,2
Acrocephalus taiti,2
Acrocephalus tangorum,1
Hippolais languida,1
Hippolais olivetorum,2
Nesillas brevicaudata,1
Nesillas lantzii,1
Nesillas mariae,1
Nesillas typica,2
Aegithalos bonvaloti,2
Aegithalos fuliginosus,1
Aegithalos iouschistos,1
Aegithalos leucogenys,1
Aegithalos niveogularis,1
Leptopoecile elegans,2
Aegithina lafresnayei,1
Certhilauda chuana,2
Eremopterix australis,2
Eremopterix verticalis,2
Galerida malabarica,2
Galerida modesta,2
Mirafra albicauda,2
Mirafra angolensis,2
Mirafra collaris,2
Mirafra gilletti,2
Mirafra microptera,2
Mirafra passerina,2
Mirafra rufa,2
Mirafra sharpii,1
Pinarocorys erythropygia,2
Spizocorys obbiensis,2
Spizocorys starki,2
Artamus insignis,1
Artamus minor,1
Artamus monachus,1
Cracticus louisiadensis,1
Gymnorhina tibicen,1
Peltops blainvillii,1
Peltops montanus,1
Crossleyia tenebrosa,2
Crossleyia xanthophrys,2
Hartertula flavoviridis,1
Xanthomixis apperti,2
Xanthomixis cinereiceps,2
Xanthomixis zosterops,1
Bombycilla garrulus,1
Bombycilla japonica,1
Smithornis rufolateralis,1
Smithornis sharpei,1
Campephaga flava,2
Campephaga petiti,1
Campephaga phoenicea,1
Campephaga quiscalina,1
Campochaera sloetii,2
Ceblepyris cinereus,1
Ceblepyris cucullatus,1
Ceblepyris pectoralis,2
Coracina atriceps,1
Coracina bicolor,1
Coracina caeruleogrisea,1
Coracina fortis,1
Coracina javensis,2
Coracina larvata,1
Coracina leucopygia,1
Coracina longicauda,1
Coracina personata,1
Coracina schistacea,2
Edolisoma anale,1
Edolisoma ceramense,1
Edolisoma coerulescens,1
Edolisoma dispar,1
Edolisoma dohertyi,1
Edolisoma holopolium,1
Edolisoma incertum,1
Edolisoma insperatum,1
Edolisoma melas,1
Edolisoma monacha,1
Edolisoma montanum,1
Edolisoma morio,2
Edolisoma nesiotis,1
Edolisoma parvulum,1
Edolisoma rostratum,2
Edolisoma salomonis,1
Edolisoma schisticeps,2
Edolisoma sula,1
Lalage aurea,2
Lalage conjuncta,0
Lalage fimbriata,1
Lalage leucomela,2
Lalage leucoptera,2
Lalage leucopygialis,1
Lalage maculosa,1
Lalage melanoleuca,1
Lalage melanoptera,1
Lalage moesta,1
Lalage polioptera,1
Lalage sueurii,1
Lalage tricolor,1
Lalage typica,1
Lobotos lobatus,1
Lobotos oriolinus,1
Pericrocotus albifrons,1
