SpeciesName,NumberRef
Accipiter cirrocephalus,7
Accipiter collaris,6
Accipiter erythropus,7
Accipiter francesiae,9
Accipiter gundlachi,7
Accipiter minullus,7
Accipiter rufitorques,7
Accipiter rufiventris,7
Accipiter striatus,8
Accipiter tachiro,6
Accipiter toussenelii,8
Accipiter trivirgatus,8
Aviceda jerdoni,10
Busarellus nigricollis,7
Buteo nitidus,7
Buteo solitarius,6
Buteogallus anthracinus,9
Buteogallus meridionalis,7
Circaetus cinereus,10
Circus cinereus,7
Circus maillardi,9
Circus maurus,6
Clanga hastata,8
Erythrotriorchis radiatus,6
Eutriorchis astur,8
Gampsonyx swainsonii,10
Geranoaetus albicaudatus,9
Geranoaetus polyosoma,9
Geranospiza caerulescens,6
Haliaeetus sanfordi,8
Haliaeetus vociferoides,8
Haliastur sphenurus,7
Harpagus bidentatus,10
Harpagus diodon,7
Helicolestes hamatus,6
Henicopernis infuscatus,7
Hieraaetus weiskei,8
Icthyophaga humilis,8
Ictinia plumbea,10
Leptodon forbesi,6
Lophaetus occipitalis,10
Lophoictinia isura,8
Melierax metabates,8
Melierax poliopterus,7
Micronisus gabar,6
Milvus aegyptius,7
Morphnarchus princeps,10
Nisaetus bartelsi,6
Nisaetus nanus,8
Nisaetus philippensis,6
Nisaetus pinskeri,9
Parabuteo leucorrhous,9
Pernis steerei,9
Pseudastur occidentalis,7
Sarcogyps calvus,10
Urotriorchis macrourus,6
Anthracoceros malayanus,7
Anthracoceros marchei,7
Anthracoceros montani,7
Buceros hydrocorax,9
Penelopides mindorensis,6
Penelopides panini,9
Rhabdotorrhinus waldeni,8
Phoeniculus bollei,6
Phoeniculus purpureus,7
Rhinopomastus minor,10
Colius castanotus,7
Colius striatus,6
Actenoides bougainvillei,6
Actenoides excelsus,9
Alcedo coerulescens,7
Alcedo euryzona,6
Alcedo meninting,10
Alcedo quadribrachys,6
Alcedo semitorquata,7
Ceyx azureus,6
Ceyx gentianus,6
Ceyx lepidus,6
Ceyx pusillus,10
Chloroceryle amazona,9
Corythornis vintsioides,6
Halcyon albiventris,9
Halcyon leucocephala,8
Halcyon senegalensis,6
Halcyon senegaloides,6
Ispidina lecontei,7
Ispidina picta,10
Lacedo pulchella,9
Megaceryle lugubris,8
Melidora macrorrhina,6
Tanysiptera danae,10
Tanysiptera galatea,9
Tanysiptera nigriceps,6
Todiramphus chloris,10
Todiramphus cinnamominus,10
Todiramphus veneratus,9
Todiramphus winchelli,8
Brachypteracias leptosomus,9
Geobiastes squamiger,10
Coracias affinis,10
Coracias cyanogaster,10
Coracias naevius,7
Coracias spatulatus,6
Coracias temminckii,8
Eurystomus glaucurus,10
Eurystomus gularis,9
Eurystomus orientalis,9
Merops lafresnayii,6
Merops leschenaulti,8
Merops nubicus,9
Merops pusillus,6
Merops variegatus,9
Electron platyrhynchum,7
Eumomota superciliosa,7
Todus multicolor,6
Falco berigora,6
Falco cenchroides,9
Falco concolor,9
Falco fasciinucha,6
Falco naumanni,10
Falco peregrinus,6
Micrastur buckleyi,8
Micrastur gilvicollis,9
Micrastur mintoni,6
Micrastur mirandollei,6
Micrastur plumbeus,10
Microhierax caerulescens,6
Microhierax erythrogenys,10
Microhierax fringillarius,7
Phalcoboenus albogularis,9
Phalcoboenus carunculatus,9
Spiziapteryx circumcincta,7
Acanthiza chrysorrhoa,8
Acanthiza ewingii,10
Acanthiza iredalei,10
Acanthiza lineata,10
Acanthiza nana,10
Acanthiza reguloides,10
Acanthornis magna,8
Aphelocephala nigricincta,7
Calamanthus cautus,9
Calamanthus fuliginosus,8
Gerygone albofrontata,8
Gerygone igata,9
Gerygone palpebrosa,10
Origma solitaria,10
Sericornis frontalis,9
Sericornis magnirostra,8
Acrocephalus brevipennis,10
Arundinax aedon,6
Hippolais icterina,9
Iduna natalensis,7
Aegithalos glaucogularis,8
Leptopoecile sophiae,8
Aegithina nigrolutea,10
Aegithina viridissima,7
Alauda gulgula,7
Alaudala raytal,10
Alaudala rufescens,8
Ammomanes deserti,6
Calandrella cinerea,9
Calandrella dukhunensis,7
Calendulauda alopex,6
Calendulauda sabota,6
Certhilauda curvirostris,9
Certhilauda subcoronata,7
Chersophilus duponti,7
Eremalauda dunni,6
Galerida theklae,7
Melanocorypha calandra,10
Melanocorypha mongolica,8
Mirafra affinis,6
Mirafra hypermetra,7
Mirafra somalica,6
Spizocorys fremantlii,6
Artamus cyanopterus,10
Artamus mentalis,7
Artamus personatus,6
Cracticus torquatus,9
Melloria quoyi,6
Bernieria madagascariensis,9
Oxylabes madagascariensis,10
Buphagus africanus,10
Buphagus erythrorynchus,6
Calcarius lapponicus,9
Calyptomena hosii,9
Smithornis capensis,9
Calyptophilus tertius,6
Ceblepyris graueri,10
Coracina caledonica,6
Coracina novaehollandiae,10
Edolisoma tenuirostre,6
Lalage newtoni,6
Lalage nigra,7
Lalage sharpei,6
Pericrocotus erythropygius,8
Pericrocotus igneus,8
Pericrocotus solaris,9
Amaurospiza relicta,10
Cardinalis sinuatus,10
Caryothraustes canadensis,7
Caryothraustes erythromelas,6
Cyanoloxia cyanoides,10
Cyanoloxia rothschildii,6
Habia carmioli,10
Habia frenata,10
Habia rubica,9
Pheucticus aureoventris,6
Pheucticus melanocephalus,6
Piranga erythrocephala,10
Piranga hepatica,10
Piranga leucoptera,6
Piranga roseogularis,10
Piranga rubriceps,6
Certhia brachydactyla,9
Certhia hodgsoni,8
Chaetops aurantius,7
Chaetops frenatus,9
Chloropsis cochinchinensis,7
Cinclus leucocephalus,7
Cinclus mexicanus,9
Cinclus pallasii,10
Cinclus schulzii,7
Cinclosoma castaneothorax,6
Cinclosoma cinnamomeum,10
Cinclosoma marginatum,8
Artisornis metopias,7
Camaroptera chloronota,6
Cisticola fulvicapilla,6
Cisticola melanurus,8
Oreophilais robertsi,10
Orthotomus chaktomuk,7
Prinia erythroptera,8
Prinia flavicans,10
Prinia hodgsonii,9
Prinia maculosa,9
Prinia rufifrons,8
Prinia subflava,6
Scepomycter winifredae,7
Cnemophilus macgregorii,8
Conopophaga aurita,9
Conopophaga cearae,9
Conopophaga melanogaster,6
Pittasoma michleri,7
Cissa chinensis,9
Cissa thalassina,7
Corvus albus,8
Corvus crassirostris,8
Corvus jamaicensis,9
Corvus palmarum,6
Cyanocorax cayanus,9
Cyanocorax colliei,7
Cyanocorax cristatellus,7
Cyanocorax formosus,7
Cyanocorax heilprini,9
Cyanocorax sanblasianus,6
Dendrocitta formosae,10
Dendrocitta leucogastra,8
Pica asirensis,9
Ptilostomus afer,10
Urocissa erythroryncha,9
Cephalopterus ornatus,6
Cotinga cayana,8
Cotinga maynana,6
Gymnoderus foetidus,8
Haematoderus militaris,6
Lipaugus vociferans,7
Phibalura boliviana,7
Phoenicircus carnifex,6
Procnias albus,6
Procnias averano,6
Procnias nudicollis,7
Dicaeum aeneum,6
Dicaeum dayakorum,10
Dicaeum pectorale,6
Dicaeum quadricolor,6
Dicrurus aeneus,10
Dicrurus annectens,9
Dicrurus balicassius,6
Dicrurus forficatus,9
Dicrurus leucophaeus,9
Dulus dominicus,8
Emberiza calandra,9
Emberiza capensis,7
Emberiza jankowskii,6
Emberiza pusilla,6
Emberiza sahari,7
Emberiza schoeniclus,9
Amadina erythrocephala,9
Amadina fasciata,9
Erythrura psittacea,6
Erythrura trichroa,7
Erythrura viridifacies,7
Estrilda erythronotos,6
Estrilda paludicola,7
Granatina granatina,10
Lonchura fuscans,9
Lonchura maja,9
Lonchura molucca,7
Neochmia modesta,7
Paludipasser locustella,8
Pytilia melba,8
Spermestes bicolor,7
Spermestes cucullata,10
Taeniopygia bichenovii,8
Uraeginthus angolensis,9
Eulacestoma nigropectus,9
Serilophus lunatus,6
Falcunculus frontatus,10
Formicarius analis,9
Bucanetes githagineus,9
Bucanetes mongolicus,8
Carduelis citrinella,8
Carpodacus dubius,7
Carpodacus erythrinus,9
Carpodacus sillemi,7
Carpodacus sipahi,6
Carpodacus subhimachalus,6
Chloris ambigua,10
Chloris monguilloti,9
Chloris spinoides,8
Chlorodrepanis stejnegeri,7
Chlorodrepanis virens,6
Chrysocorythus estherae,8
Chrysocorythus mindanensis,9
Crithagra flaviventris,8
Crithagra gularis,9
Crithagra reichardi,6
Crithagra scotops,7
Crithagra sulphurata,8
Euphonia affinis,6
Euphonia chlorotica,7
Fringilla polatzeki,6
Hemignathus hanapepe,6
Hesperiphona abeillei,7
Linurgus olivaceus,7
Loxia leucoptera,7
Loxia pytyopsittacus,8
Loxioides bailleui,7
Magumma parva,7
Pyrrhula leucogenis,6
Spinus atratus,6
Spinus lawrencei,8
Spinus pinus,10
Spinus thibetanus,6
Spinus yarrellii,7
Anabacerthia amaurotis,7
Anabacerthia ruficaudata,10
Anabacerthia striaticollis,8
Anabazenops dorsalis,9
Asthenes arequipae,9
Asthenes ayacuchensis,7
Asthenes baeri,7
Asthenes berlepschi,8
Asthenes dorbignyi,8
Asthenes fuliginosa,6
Asthenes griseomurina,6
Asthenes huancavelicae,8
Asthenes hudsoni,9
Asthenes luizae,6
Asthenes modesta,6
Asthenes perijana,6
Asthenes pyrrholeuca,7
Asthenes usheri,8
Asthenes vilcabambae,7
Asthenes virgata,7
Automolus lammi,7
Automolus leucophthalmus,9
Automolus melanopezus,9
Automolus paraensis,8
Automolus rufipileatus,9
Berlepschia rikeri,8
Campylorhamphus multostriatus,6
Campylorhamphus probatus,7
Campylorhamphus procurvoides,10
Campylorhamphus pusillus,8
Campylorhamphus trochilirostris,7
Certhiasomus stictolaemus,7
Certhiaxis cinnamomeus,10
Certhiaxis mustelinus,6
Cichlocolaptes leucophrus,9
Cinclodes albiventris,8
Cinclodes antarcticus,8
Cinclodes aricomae,6
Cinclodes comechingonus,8
Cinclodes excelsior,8
Cinclodes fuscus,8
Cinclodes nigrofumosus,7
Cinclodes olrogi,10
Cinclodes pabsti,7
Cinclodes patagonicus,9
Cinclodes taczanowskii,7
Clibanornis dendrocolaptoides,6
Clibanornis erythrocephalus,6
Clibanornis rectirostris,8
Clibanornis rufipectus,8
Coryphistera alaudina,9
Cranioleuca antisiensis,9
Cranioleuca baroni,9
Cranioleuca berlepschi,9
Cranioleuca curtata,6
Cranioleuca demissa,6
Cranioleuca dissita,9
Cranioleuca erythrops,7
Cranioleuca marcapatae,9
Cranioleuca muelleri,7
Cranioleuca obsoleta,7
Cranioleuca pyrrhophia,9
Cranioleuca semicinerea,6
Cranioleuca sulphurifera,9
Cranioleuca vulpecula,10
Cranioleuca weskei,7
Deconychura longicauda,8
Deconychura pallida,10
Deconychura typica,10
Dendrexetastes rufigula,9
Dendrocincla homochroa,6
Dendrocincla merula,7
Dendrocincla turdina,8
Dendrocincla tyrannina,6
Dendrocolaptes hoffmannsi,7
Dendrocolaptes platyrostris,8
Dendroplex kienerii,7
Drymornis bridgesii,7
Drymotoxeres pucheranii,7
Furnarius cinnamomeus,9
Furnarius leucopus,8
Furnarius longirostris,8
Furnarius torridus,10
Geocerthia serrana,8
Geositta rufipennis,6
Heliobletus contaminatus,9
Hellmayrea gularis,8
Hylexetastes perrotii,9
Hylexetastes stresemanni,7
Lepidocolaptes albolineatus,8
Lepidocolaptes duidae,8
Lepidocolaptes falcinellus,6
Lepidocolaptes fatimalimae,7
Lepidocolaptes fuscicapillus,8
Lepidocolaptes lacrymiger,7
Lepidocolaptes souleyetii,10
Lepidocolaptes squamatus,6
Leptasthenura aegithaloides,9
Leptasthenura platensis,6
Leptasthenura setaria,6
Limnoctites rectirostris,7
Limnornis curvirostris,6
Margarornis rubiginosus,6
Margarornis squamiger,6
Margarornis stellatus,6
Megaxenops parnaguae,6
Metopothrix aurantiaca,9
Microxenops milleri,8
Nasica longirostris,8
Ochetorhynchus andaecola,7
Ochetorhynchus phoenicurus,6
Phacellodomus erythrophthalmus,7
Phacellodomus inornatus,10
Phacellodomus ruber,7
Phacellodomus rufifrons,8
Phacellodomus sibilatrix,8
Phacellodomus striaticollis,8
Philydor erythrocercum,7
Philydor erythropterum,10
Philydor fuscipenne,6
Philydor pyrrhodes,7
Philydor rufum,10
Phleocryptes melanops,6
Premnoplex tatei,10
Premnornis guttuliger,9
Pseudasthenes cactorum,6
Pseudasthenes humicola,8
Pseudasthenes steinbachi,7
Pseudocolaptes boissonneauii,10
Pseudocolaptes johnsoni,9
Pseudocolaptes lawrencii,8
Pseudoseisura cristata,8
Pseudoseisura gutturalis,6
Pseudoseisura lophotes,6
Pseudoseisura unirufa,8
Roraimia adusta,8
Schoeniophylax phryganophilus,9
Sclerurus albigularis,10
Sclerurus caudacutus,9
Sclerurus guatemalensis,8
Sclerurus mexicanus,8
Sclerurus rufigularis,9
Sclerurus scansor,6
Siptornis striaticollis,9
Spartonoica maluroides,10
Synallaxis albigularis,7
Synallaxis albilora,7
Synallaxis azarae,8
Synallaxis brachyura,6
Synallaxis cabanisi,10
Synallaxis candei,8
Synallaxis castanea,6
Synallaxis cherriei,10
Synallaxis chinchipensis,10
Synallaxis cinerascens,6
Synallaxis cinerea,9
Synallaxis erythrothorax,9
Synallaxis frontalis,7
Synallaxis hypospodia,7
Synallaxis infuscata,7
Synallaxis kollari,8
Synallaxis moesta,9
Synallaxis ruficapilla,10
Synallaxis rutilans,10
Synallaxis scutata,9
Synallaxis simoni,8
Synallaxis spixi,8
Synallaxis stictothorax,10
Synallaxis unirufa,7
Syndactyla roraimae,6
Syndactyla ruficollis,6
Syndactyla rufosuperciliata,8
Syndactyla striata,8
Syndactyla subalaris,10
Syndactyla ucayalae,6
Tarphonomus certhioides,6
Tarphonomus harterti,6
Thripadectes flammulatus,7
Thripadectes ignobilis,7
Thripadectes melanorhynchus,7
