"Species","Results"
"Accipiter albogularis",0
"Accipiter badius",9
"Accipiter bicolor",0
"Accipiter brachyurus",0
"Accipiter brevipes",0
"Accipiter butleri",0
"Accipiter castanilius",0
"Accipiter cirrocephalus",0
"Accipiter collaris",0
"Accipiter cooperii",2
"Accipiter erythrauchen",0
"Accipiter erythropus",0
"Accipiter fasciatus",1
"Accipiter francesiae",0
"Accipiter gentilis",0
"Accipiter griseiceps",0
"Accipiter gularis",0
"Accipiter gundlachi",0
"Accipiter haplochrous",0
"Accipiter henicogrammus",0
